"72","Rhätische Bahn"
"131","Montreux-Vevey-Riviera (mtgn)"
"157","Wengernalpbahn"
"160","Dampfbahn Furka-Bergstrecke"
"129","Ferrovia Monte Generoso"
"124","Jungfraubahn"
"140","Berner Oberland-Bahnen"
"104","Brienz Rothorn Bahn AG"
"136","Pilatusbahnen"
"137","Rigi Bahnen AG"
"121","Gornergratbahn"
"11","Schweizerische Bundesbahnen SBB"
"723","Aargau Verkehr AG"
"840","Busbetrieb Aarau"
"886","Regionale Verkehrsbetriebe Baden-Wettingen"
"801","PostAuto AG"
"96","Aargau Verkehr AG"
"31","Aargau Verkehr AG"
"849","Verkehrsbetriebe Zürich"
"899","Aargau Verkehr AG"
"839","Zugerland Verkehrsbetriebe"
"65","THURBO"
"873","Regionalbus Lenzburg"
"793","Busbetrieb Olten-Gösgen-Gäu"
"811","Autobus AG Liestal"
"7001","Events / Manifestations / Eventi"
"896","Regiobus Gossau SG"
"799","Verkehrsbetriebe Herisau"
"744","Automobildienst Appenzeller Bahnen"
"22","Appenzeller Bahnen (ab)"
"37","Baselland Transport"
"879","Auto BLT"
"823","Basler Verkehrsbetriebe"
"94","Waldenburgerbahn"
"L7____","SBB GmbH"
"351","SBB GmbH (Grenzverkehr)"
"820","vbl verkehrsbetriebe luzern ag"
"146","STI Bus AG"
"33","BLS AG (bls)"
"889","Verkehrsbetriebe der Stadt Biel"
"827","Städtische Verkehrsbetriebe Bern"
"7080","Bus alpin Lombachalp"
"833","Automobiles CJ"
"859","Grindelwald Bus AG"
"307","Bergbahnen Meiringen-Hasliberg"
"103","Verkehrsbetriebe Biel"
"813","Autoverkehr Frutigen-Adelboden"
"7038","Autobusbetrieb LEE"
"602","Bergbahnen Adelboden AG"
"7025","Busbetrieb Kandersteg - Gasterntal"
"834","Service d'automobiles TPF"
"871","Busland AG"
"7088","Trägerverein Historische Postautolinie"
"7051","Kröschenbrunnen Bus"
"850","Autobusbetrieb RBS"
"894","Busbetrieb Grenchen und Umgebung"
"7044","Bürgerbus Walperswil-Epsach-Täuffelen-Aarberg"
"711","Bürgerbus Hellsau-Höchstetten-Willadingen-Koppigen"
"7087","Bürgerbus Rüderswil"
"7045","Bürgerbus Gondiswil-Huttwil-Ufhusen"
"7079","PRO REGIO HUTTWIL Verkehrsverein"
"870","Automobildienste Aare Seeland mobil"
"88","Regionalverkehr Bern-Solothurn"
"883","Busbetrieb Solothurn und Umgebung"
"7055","Funicar AG"
"7046","Bürgerbus Kleindietwil-Oeschenbach-Walterswil"
"53","Transports publics fribourgeois"
"876","Transports publics Vevey-Montreux-Chillon-Villeneuve"
"881","Transports Publics Genevois"
"776","Transports Publics de l'agglomération d'Annemasse"
"87_ARA","ARA"
"82","Schweizerische Südostbahn (sob)"
"856","Autobetrieb Sernftal"
"7037","Bahnersatz Jahresfahrplan"
"740","Verkehrsbetrieb der Landschaft Davos"
"766","Bus und Service AG"
"815","Bus und Service AG (Engadin)"
"959","Heuberge AG"
